Row Number,Description
1,Rk : Rank
2,Player : Player's name
3,Nation : Player's nation
4,Pos : Position
5,Squad : Squad’s name
6,Comp : League that squat occupies
7,Age : Player's age
8,Born : Year of birth
9,MP : Matches played
10,Starts : Matches started
11,Min : Minutes played
12,90s : Minutes played divided by 90
13,Goals : Goals scored or allowed
14,Shots : Shots total (Does not include penalty kicks)
15,SoT : Shots on target (Does not include penalty kicks)
16,SoT% : Shots on target percentage (Does not include penalty kicks)
17,G/Sh : Goals per shot
18,G/SoT : Goals per shot on target (Does not include penalty kicks)
19,"ShoDist : Average distance, in yards, from goal of all shots taken (Does not include penalty kicks)"
20,ShoFK : Shots from free kicks
21,ShoPK : Penalty kicks made
22,PKatt : Penalty kicks attempted
23,PasTotCmp : Passes completed
24,PasTotAtt : Passes attempted
25,PasTotCmp% : Pass completion percentage
26,"PasTotDist : Total distance, in yards, that completed passes have traveled in any direction"
27,"PasTotPrgDist : Total distance, in yards, that completed passes have traveled towards the opponent's goal"
28,PasShoCmp : Passes completed (Passes between 5 and 15 yards)
29,PasShoAtt : Passes attempted (Passes between 5 and 15 yards)
30,PasShoCmp% : Pass completion percentage (Passes between 5 and 15 yards)
31,PasMedCmp : Passes completed (Passes between 15 and 30 yards)
32,PasMedAtt : Passes attempted (Passes between 15 and 30 yards)
33,PasMedCmp% : Pass completion percentage (Passes between 15 and 30 yards)
34,PasLonCmp : Passes completed (Passes longer than 30 yards)
35,PasLonAtt : Passes attempted (Passes longer than 30 yards)
36,PasLonCmp% : Pass completion percentage (Passes longer than 30 yards)
37,Assists : Assists
38,PasAss : Passes that directly lead to a shot (assisted shots)
39,Pas3rd : Completed passes that enter the 1/3 of the pitch closest to the goal
40,PPA : Completed passes into the 18-yard box
41,CrsPA : Completed crosses into the 18-yard box
42,"PasProg : Completed passes that move the ball towards the opponent's goal at least 10 yards from its furthest point in the last six passes, or any completed pass into the penalty area"
43,PasAtt : Passes attempted
44,PasLive : Live-ball passes
45,PasDead : Dead-ball passes
46,PasFK : Passes attempted from free kicks
47,TB : Completed pass sent between back defenders into open space
